                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95403,                 3.1312,                  1.413,                0.00367,                      1,                 0.0607,                0.02926,                0.62504,                 3.5081,                 1.1723,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                0.87381,                 3.1509,                 1.3557,                0.00366,                      1,                0.14844,                0.08286,                 0.3737,                 3.4572,                0.99074,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                0.56424,                 2.9251,                 1.1816,                0.00367,                      1,                0.32521,                0.23801,                0.31207,                 3.4223,                0.93321,             0.00010979,             0.00010979,             0.00010979
                      4,                0.52431,                  2.769,                 1.1498,                0.00367,                      1,                0.52037,                0.36605,                0.36788,                 3.4025,                  0.958,             0.00014785,             0.00014785,             0.00014785
                      5,                0.40701,                 2.5056,                 1.0674,                0.00378,                      1,                0.41714,                0.30306,                0.44199,                 3.3224,                0.94873,             0.00018422,             0.00018422,             0.00018422
                      6,                0.40246,                 2.2968,                 1.0865,                0.00384,                      1,                0.39303,                0.27962,                0.45995,                  3.258,                0.92132,             0.00021888,             0.00021888,             0.00021888
                      7,                0.38846,                 2.2534,                 1.0536,                0.00392,                      1,                0.41017,                0.30171,                0.35412,                 3.0916,                0.88559,             0.00025185,             0.00025185,             0.00025185
                      8,                0.63494,                 2.5568,                 1.2852,                0.00396,                      1,                0.43388,                 0.3198,                0.38011,                 3.0742,                0.90813,             0.00028312,             0.00028312,             0.00028312
                      9,                0.44747,                 1.9333,                 1.1094,                0.00408,                      1,                0.58503,                0.44169,                0.42817,                 3.1502,                0.93698,             0.00031269,             0.00031269,             0.00031269
                     10,                0.35442,                 1.7635,                  1.023,                0.00411,                      1,                0.65619,                0.54135,                0.43063,                 3.1537,                0.93856,             0.00034056,             0.00034056,             0.00034056
                     11,                0.31202,                 1.6601,                0.97735,                0.37074,                0.89693,                0.73022,                0.63368,                0.52729,                 3.1292,                0.99126,             0.00036674,             0.00036674,             0.00036674
                     12,                0.35828,                 1.5367,                0.98211,                0.00403,                      1,                0.84492,                0.69689,                0.51068,                 3.1134,                 1.0015,             0.00039122,             0.00039122,             0.00039122
                     13,                0.38012,                  1.485,                 1.0309,                0.90988,                0.31541,                 0.6732,                0.54864,                0.47793,                 2.7667,                 1.0049,               0.000414,               0.000414,               0.000414
                     14,                0.47449,                 1.5139,                 1.1159,                 0.6927,                0.47222,                0.68943,                0.59431,                0.41792,                 2.4817,                0.96813,             0.00043508,             0.00043508,             0.00043508
                     15,                0.36568,                 1.5598,                 0.9909,                0.57187,                0.71754,                0.78454,                0.62977,                0.49858,                 2.1349,                0.98251,             0.00045447,             0.00045447,             0.00045447
